"Value","Reference","Package","LCSC Part"
"100nF","C1,C2","0603","C14663 "
"1uF","C3,C4","0603","C106248"
"RCLAMP0521P-N","D1,D2","DFN1006-2","C316043"
"BSS138","Q1,Q2","SOT-23","C82045"
"10k","R1,R2,R3","0603","C25804"
"2.2k","R4,R5","0603","C4190"
"MAX30102","U1","OESIP-14","C6454833"
"TLV74318PDBVR","U2","SOT-23-5","C485152"
