Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C0603",0.150000,2.030000,0.000000,top
"U2","TMP117AIDRVR","WSON-6_L2.0-W2.0-P0.65-TL-EP",0.000000,0.000000,90.000000,top
