"Reference","Value","Package","LCSC Part"
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19","YZ00615050R-04"," -","C5157400"
"MH1","SMH1_DATA"," -","C2915635"
"MH2","SMH2_GND"," -","C2915635"
"MH3","SMH3_POWER"," -","C2915635"
"MH4","SMH4_GND"," -","C2915635"
