Designator,Mid X,Mid Y,Layer,Rotation
C1,-5.0mm,-45.0mm,T,0.0
C2,-8.0mm,-40.0mm,T,180.0
R5,-12.0mm,-38.0mm,T,90.0
R6,-18.0mm,-30.0mm,T,90.0
