"Value","Reference","Package","LCSC Part"
"SMTSO4020MTJ","CN1,CN2","-","C2916373"
"BWCD-L3W2.0H1.0","TP1,TP2,TP3,TP4,TP5,TP6,TP7","SMD,D=2mm","C2988082"
