Ref,Val,Package,PosX,PosY,Rot,Side
"3D1","~","3D_placeholder",0.000000,0.000000,0.000000,top
"GS1","JD_DATA","JD_DATA",-14.000000,10.000000,0.000000,top
"GS2","GND","GND",14.000000,-10.000000,0.000000,top
"GS3","JD_PWR","JD_PWR",-10.000000,-14.000000,0.000000,top
"MH1","jacdac_hole_DATA_MH1","jacdac_hole_DATA_MH1",-10.000000,10.000001,0.000000,top
"MH2","jacdac_hole_GND_MH2","jacdac_hole_GND_MH2",10.000000,10.000000,0.000000,top
"MH3","jacdac_hole_PWR_MH3","jacdac_hole_PWR_MH3",-10.000800,-10.000800,0.000000,top
"MH4","jacdac_hole_GND_MH4","jacdac_hole_GND_MH4",10.000000,-9.999999,0.000000,top
