Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0603,-6.500000,-4.600000,0.000000,top
C2,1uF,C0603,-11.300000,2.600000,180.000000,top
C3,1uF,C0603,-11.400000,-2.600000,180.000000,top
C4,10nF,C0603,2.320000,7.000000,0.000000,top
C5,10nF,C0603,-0.530000,4.750000,180.000000,top
D1,SZYY0603O,LED0603-R-RD_ORANGE,-11.400000,-5.200000,0.000000,top
D2,1N4148WS,SOD-323_L1.8-W1.3-LS2.5-RD,-12.500000,6.400000,-90.000000,top
R1,150R,R0603,-11.400000,-3.900000,180.000000,top
R5,220R,R0603,-11.300000,3.900000,180.000000,top
R6,220R,R0603,-10.800000,6.000000,90.000000,top
R7,220R,R0603,-9.200000,6.000000,90.000000,top
R10,10k,R0603,5.521000,6.250000,180.000000,top
R11,10k,R0603,5.521000,7.500000,180.000000,top
R12,10k,R0603,-0.479000,7.500000,0.000000,top
R13,10k,R0603,-0.479000,6.000000,0.000000,top
SW1,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,-6.480000,-6.800000,180.000000,top
SW2,EC12D1524403,SW-TH_EC12D1524403,5.311000,-1.800000,180.000000,top
U1,STM32G030F6P6,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,-6.480000,0.000000,0.000000,top
U2,NCP114ASN330T1G,TSOP-5_L3.0-W1.5-P0.95-BL,-11.600000,0.000000,180.000000,top
